youtube_id	canonical_youtube_id	decision	subject	note
PeyzIoZh6tw	PeyzIoZh6tw	winner	amitai schlair	Merged duplicate pair; transcript-backed winner.
hIrKB0Imf0I	PeyzIoZh6tw	alias_to_winner	amitai schlair	Alias ID retained as alternate video context.
FQCDazouHKk	FQCDazouHKk	keep_both	angelique martin	Confirmed separate interview.
29TQOHYE0dc	29TQOHYE0dc	keep_both	angelique martin	Confirmed separate interview.
D8KqeuEBhvc	D8KqeuEBhvc	winner	bill scott	Merged duplicate pair; transcript-backed winner.
jH67SQDdOyQ	D8KqeuEBhvc	alias_to_winner	bill scott	Alias ID retained as alternate video context.
xS03nrJQwk8	xS03nrJQwk8	winner	chet hendrickson and ron jefferies	Merged duplicate pair; transcript-backed winner.
J8iOl7g8az8	xS03nrJQwk8	alias_to_winner	chet hendrickson and ron jefferies	Alias ID retained as alternate video context.
RaCRLFLgbR4	RaCRLFLgbR4	keep_both	dave thomas	Multiple interviews preserved.
4Io6gcQcuVQ	4Io6gcQcuVQ	keep_both	dave thomas	Multiple interviews preserved.
-RpPLgSF0kQ	-RpPLgSF0kQ	winner	michael ficarra	Merged duplicate pair; best current transcript match.
Po-tdmsc3IE	-RpPLgSF0kQ	alias_to_winner	michael ficarra	Alias ID retained as alternate video context.
KZQW9oL9Gfo	KZQW9oL9Gfo	keep_both	sandro mancuso	Multiple interviews preserved.
dDtdxSmfwtE	dDtdxSmfwtE	keep_both	sandro mancuso	Multiple interviews preserved.
5umGKgZlqIw	5umGKgZlqIw	winner	sarah allen and desi mcadam	Merged duplicate pair; transcript-backed winner.
bk_iWx47vwc	5umGKgZlqIw	alias_to_winner	sarah allen and desi mcadam	Alias ID retained as alternate video context.
Afrt62MZhfE	Afrt62MZhfE	keep_both	stephen anderson	Multiple interviews preserved.
N9XF3M7-lus	N9XF3M7-lus	keep_both	stephen anderson	Multiple interviews preserved.
Mn2T9LUsA1M	Mn2T9LUsA1M	winner	giles bowkett	Preferred richer-context title with transcript.
MFy2zjf2YVc	Mn2T9LUsA1M	alias_to_winner	giles bowkett	Alias ID retained as alternate video context.
