normalized_subject	action	winner_youtube_id	loser_youtube_id	winner_title	loser_title	winner_transcript	merge_relevant_context	confidence	notes
amitai schlair	merge	PeyzIoZh6tw	hIrKB0Imf0I	Interview with Amitai Schlair	Interview with Amitai Schlair	_data/transcripts/amitai-schlair-software-craftsmanship-north-america-2013.yml	Keep loser ID as alternate_video_id and metadata file reference	medium	Single transcript thread found; duplicate title/subject.
angelique martin	keep_both			Interview with Angelique Martin	Interview with Angelique Martin	_data/transcripts/angelique-martin-general.yml; _data/transcripts/angelique-martin-software-craftsmanship-north-america-2013.yml	N/A	high	Confirmed multiple interviews; preserve both.
bill scott	merge	D8KqeuEBhvc	jH67SQDdOyQ	Interview with Bill Scott	Interview with Bill Scott	_data/transcripts/bill-scott-general.yml	Keep loser ID as alternate_video_id and metadata file reference	medium	Single transcript thread found; duplicate title/subject.
chet hendrickson and ron jefferies	merge	xS03nrJQwk8	J8iOl7g8az8	Interview with Chet Hendrickson & Ron Jefferies	Interview with Chet Hendrickson & Ron Jefferies	_data/transcripts/chet-hendrickson-ron-jefferies-software-craftsmanship-north-america-2013.yml	Keep loser ID as alternate_video_id and metadata file reference	medium	Two transcript txt spellings map to same interview; treat as duplicate asset IDs.
dave thomas	keep_both			Interview with Dave Thomas	Interview with Dave Thomas	_data/transcripts/dave-thomas-goto-conference-and-community-goto-conference-and-community.yml; _data/transcripts/dave-thomas-software-craftsmanship-north-america-2013.yml	N/A	high	Explicitly preserving due known multiple interviews.
michael ficarra	merge	-RpPLgSF0kQ	Po-tdmsc3IE	Interview with Michael Ficarra	Interview with Michael Ficarra	context/interviews-history/transcripts/michael_ficarra.txt	Keep loser ID as alternate_video_id and metadata file reference	low	Two transcript txt variants likely same interview; no canonical _data/transcripts YAML yet.
sandro mancuso	keep_both			Interview with Sandro Mancuso	Interview with Sandro Mancuso	_data/transcripts/sandro-mancuso-software-craftsmanship-north-america-2012.yml; _data/transcripts/sandro-mancuso-software-craftsmanship-north-america-2013.yml	N/A	high	Explicitly preserving due known multiple interviews.
sarah allen and desi mcadam	merge	5umGKgZlqIw	bk_iWx47vwc	Interview with Sarah Allen and Desi McAdam	Interview with Sarah Allen and Desi McAdam	_data/transcripts/sarah-allen-desi-mcadam-software-craftsmanship-north-america-2012.yml	Keep loser ID as alternate_video_id and metadata file reference	medium	Single transcript thread found; duplicate title/subject.
stephen anderson	keep_both			Interview with Stephen Anderson	Interview with Stephen Anderson	_data/transcripts/stephen-anderson-windycityrails-2012.yml; _data/transcripts/stephen-anderson-software-craftsmanship-north-america-2013.yml	N/A	high	Explicitly preserving due known multiple interviews.
giles bowkett	merge	Mn2T9LUsA1M	MFy2zjf2YVc	Interview with Giles Bowkett author "Rails	Interview with Giles Bowkett	context/interviews-history/transcripts/interview_with_giles_bowkett_author_rails_as_she_is_spoke_on_civility_in_community.txt	Carry concise alias title "Interview with Giles Bowkett" and loser ID as alternate_video_id	medium	Winner chosen for richer context title; transcript present.
